Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_247.jpg;-10.04489;0;0;0;99.67;85.58897;0.0002440748;27.32177;-1.780751E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_316.jpg;-14.11896;0;0;0;99.67;85.58897;0.0002442712;24.19598;-1.216206E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_385.jpg;-15;0;0;0;99.67;85.58897;0.0002436985;21.49597;-6.684424E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_451.jpg;-15;0;0;0;99.67;85.58897;0.0002444508;18.79594;-9.917485E-07
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_516.jpg;-15;0;0;0;99.67;85.58897;0.0002437358;15.19594;4.865387E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_584.jpg;-15;0;0;0;99.67;85.58897;0.0002431771;12.49594;9.209528E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_647.jpg;-13.12974;0;0;0;99.67;85.58897;0.0002414256;9.908119;1.247729E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_716.jpg;-9.02112;0;0;0;99.67;85.58897;0.0002414511;7.479446;1.122029E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_785.jpg;-5.223362;0;0;0;99.67;85.58897;0.0002425315;6.42675;8.063898E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_847.jpg;-1.091402;0;0;0;99.67;85.58897;0.0002422023;6.003052;2.373854E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_899.jpg;0;0;0;0;99.67;85.58897;0.0002433934;6.003052;-3.73397E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_19_959.jpg;0;0;0;0;99.67;85.58897;0.0002440132;6.003052;-9.207301E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_017.jpg;-1.499097;0;0;0;99.67;85.58897;0.0002438996;5.823174;-1.354144E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_079.jpg;-5.293014;0;0;0;99.67;85.58897;0.0002439891;4.981155;-1.50819E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_131.jpg;-8.408575;0;0;0;99.67;85.58897;0.0002435279;4.044151;-1.464452E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_200.jpg;-12.58236;0;0;0;99.67;85.58897;0.0002423347;1.294815;-9.194729E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_268.jpg;-15;0;0;0;99.67;85.58897;0.0002427067;358.6267;-3.626818E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_331.jpg;-10.90673;0;0;0;99.67;85.58897;0.0002435928;356.4377;-4.115664E-07
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_400.jpg;-6.803935;0;0;0;99.67;85.58897;0.0002437622;354.542;-9.258811E-07
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_468.jpg;-2.670958;0;0;0;99.67;85.58897;0.0002436534;353.7937;-2.812544E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_531.jpg;0;0;0;0;99.67;85.58897;0.0002438067;353.6981;-7.719462E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_600.jpg;-2.228758;0;0;0;99.67;85.58897;0.000243274;353.4307;-1.241842E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_668.jpg;-6.006961;0;0;0;99.67;85.58897;0.0002427151;352.4633;-1.305471E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_731.jpg;-10.14366;0;0;0;99.67;85.58897;0.0002436229;350.8698;-9.950418E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_800.jpg;-14.22942;0;0;0;99.67;85.58897;0.0002424361;347.7197;-1.546436E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_859.jpg;-10.4532;0;0;0;99.67;85.58897;0.0002427166;345.7245;2.178715E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_915.jpg;-7.291617;0;0;0;99.67;85.58897;0.0002419954;344.323;2.134486E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_20_975.jpg;-3.485155;0;0;0;99.67;85.58897;0.0002418322;343.5801;-4.100682E-07
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_031.jpg;-0.2898002;0;0;0;99.67;85.58897;0.0002421609;343.4541;-3.451598E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_099.jpg;0;0;0;0;99.67;85.58897;0.0002428585;343.4541;-9.298233E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_159.jpg;0;0;0;0;99.67;85.58897;0.000243058;343.4541;-1.224326E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_216.jpg;0;0;0;0;99.67;85.58897;0.0002430646;343.4541;-1.49113E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_284.jpg;0;0;0;0;99.67;85.58897;0.0002428568;343.4541;-1.715297E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_352.jpg;0;0;0;0;99.67;85.58897;0.0002426055;343.4541;-1.909595E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_415.jpg;-1.913223;0;0;0;99.67;85.58897;0.0002414989;343.2245;-1.943419E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_485.jpg;-6.019742;0;0;0;99.67;85.58897;0.0002408435;342.2763;-1.637026E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_552.jpg;-6.088793;0;0;0;99.67;85.58897;0.000239975;340.9597;-1.08329E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_615.jpg;-1.946154;0;0;0;99.67;85.58897;0.0002397106;340.2614;-1.039018E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_684.jpg;0;0;0;0;99.67;85.58897;0.0002395494;340.2562;-1.116554E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_743.jpg;0;0;0;0;99.67;85.58897;0.0002394783;340.2562;-1.16375E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_800.jpg;0;0;0;0;99.67;85.58897;0.0002392327;340.2562;-1.198663E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_859.jpg;0;0;0;0;99.67;85.58897;0.000239084;340.2562;-1.201251E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_915.jpg;-1.51866;0;0;0;99.67;85.58897;0.0002390857;340.074;-1.109893E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_21_986.jpg;-5.571356;0;0;0;99.67;85.58897;0.0002379488;339.2039;-7.84841E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_052.jpg;-9.364858;0;0;0;99.67;85.58897;0.0002370154;337.7372;-1.143005E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_115.jpg;-5.262294;0;0;0;99.66998;85.58897;0.0002341221;336.245;3.375934E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_184.jpg;-1.131477;0;0;0;99.66998;85.58897;0.0002325321;335.9074;3.787904E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_252.jpg;0;0;0;0;99.66998;85.58897;0.0002313926;335.9074;2.618792E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_317.jpg;-1.903195;0;0;0;99.66998;85.58897;0.0002312439;335.6791;2.661581E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_385.jpg;-6.048181;0;0;0;99.66998;85.58897;0.0002310015;334.7225;4.855036E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_447.jpg;-9.7911;0;0;0;99.66998;85.58897;0.0002317051;333.1848;9.849239E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_499.jpg;-6.660783;0;0;0;99.66998;85.58897;0.0002311044;331.9134;1.30762E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_568.jpg;-2.515261;0;0;0;99.66998;85.58897;0.0002316363;331.1923;1.264121E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_636.jpg;0;0;0;0;99.66998;85.58897;0.0002321728;331.1212;8.039823E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_699.jpg;-1.923244;0;0;0;99.66998;85.58897;0.0002319416;330.8904;6.246841E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_768.jpg;-6.011524;0;0;0;99.66998;85.58897;0.0002322959;330.075;6.464851E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_831.jpg;-6.021552;0;0;0;99.66998;85.58897;0.0002345953;328.7645;9.665141E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_884.jpg;-2.43403;0;0;0;99.66998;85.58897;0.0002367509;328.1252;8.804566E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_943.jpg;0;0;0;0;99.66998;85.58897;0.000236129;328.0119;6.392236E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_22_995.jpg;0;0;0;0;99.66998;85.58897;0.0002358888;328.0119;2.437494E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_052.jpg;-3.075957;0;0;0;99.66998;85.58897;0.0002358849;327.7297;2.802597E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_120.jpg;-6.987662;0;0;0;99.66998;85.58897;0.0002364914;326.287;5.87553E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_185.jpg;-7.258852;0;0;0;99.66998;85.58897;0.0002382946;324.8671;8.747988E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_252.jpg;-3.15161;0;0;0;99.66998;85.58897;0.0002392006;324.0378;9.80107E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_315.jpg;0;0;0;0;99.66998;85.58897;0.000241652;323.888;7.661041E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_384.jpg;-2.244301;0;0;0;99.66998;85.58897;0.0002407025;323.6187;7.096791E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_443.jpg;-5.99586;0;0;0;99.66998;85.58897;0.0002394927;322.7665;8.969085E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_499.jpg;-9.195721;0;0;0;99.66998;85.58897;0.0002402992;321.201;1.101499E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_552.jpg;-5.679781;0;0;0;99.66998;85.58897;0.0002405705;320.4193;1.089581E-05
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_620.jpg;-2.308202;0;0;0;99.66998;85.58897;0.0002408974;319.6394;7.310216E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_683.jpg;0;0;0;0;99.66998;85.58897;0.0002417869;319.6333;2.128057E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_752.jpg;-2.233801;0;0;0;99.66998;85.58897;0.0002425546;319.4992;-5.065243E-07
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_820.jpg;-5.99478;0;0;0;99.66998;85.58897;0.0002428621;318.2859;-1.669643E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_883.jpg;-6.244798;0;0;0;99.66998;85.58897;0.0002438899;317.0454;-2.570831E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_943.jpg;-2.466717;0;0;0;99.66998;85.58897;0.0002446935;316.3709;-5.247973E-06
/Users/markstumbris/CDU/IMG/robocam_2018_01_11_17_35_23_999.jpg;0;0;0;0;99.66998;85.58897;0.0002433598;316.3243;-8.27069E-06
